state,total_cases,total_deaths
California,9241626,90530
Texas,6826452,88546
Florida,5980753,74005
"New York",5340826,68875
Illinois,3147663,37906
Pennsylvania,2825267,44715
Ohio,2697058,38428
"North Carolina",2659255,23405
Georgia,2515139,37806
Michigan,2425946,36002
"New Jersey",2267006,33444
Tennessee,2030608,26166
Arizona,2021524,29951
Massachusetts,1763854,20280
Virginia,1705650,20237
Indiana,1703579,23591
Wisconsin,1614126,14415
Washington,1510309,12706
"South Carolina",1474272,17767
Minnesota,1454278,12781
Missouri,1425626,20360
Colorado,1385179,13223
Kentucky,1328111,15523
Alabama,1301171,19570
Louisiana,1238557,17262
Oklahoma,1039953,14267
Maryland,1032775,14462
Utah,932253,4747
Iowa,859772,9529
Arkansas,835983,11394
Mississippi,797922,12446
Kansas,775813,8635
Connecticut,760370,10851
Oregon,723336,7505
Nevada,718675,10752
"New Mexico",522857,7516
"West Virginia",501743,6857
Nebraska,480151,4197
Idaho,446227,4927
"Rhode Island",372866,3540
"New Hampshire",311144,2481
Montana,274134,3373
Delaware,263164,2919
Hawaii,248405,1418
Maine,245871,2287
Alaska,244914,1219
"North Dakota",241127,2268
"South Dakota",237812,2912
Wyoming,156550,1812
Vermont,124523,639
